customer_id,first_name,last_name,email,country,city,segment,acquisition_channel,registration_date
1,Jade,Martin,jade.martin1@orange.fr,France,Amiens,returning,paid_search,2021-12-28
2,Adam,Faure,adam.faure2@laposte.net,France,Lille,VIP,direct,2021-12-14
3,Laura,Durand,laura.durand3@hotmail.fr,France,Besançon,returning,organic_search,2024-09-10
4,Marc,Chevalier,marc.chevalier4@yahoo.fr,France,Orléans,VIP,organic_search,2022-08-20
5,Mehdi,Rezki,mehdi.rezki5@gmail.com,France,Tours,new,social_media,2019-11-19
6,Alexandre,Masson,alexandre.masson6@sfr.fr,France,Angers,new,organic_search,2024-04-30
7,Léa,Garcia,lea.garcia7@hotmail.fr,France,Toulon,VIP,paid_search,2021-04-03
8,Laure,Clement,laure.clement8@gmail.com,France,Grenoble,new,organic_search,2020-05-10
9,Michel,Gauthier,michel.gauthier9@hotmail.fr,France,Angers,new,organic_search,2019-10-18
10,Alexandre,Thomas,alexandre.thomas10@hotmail.fr,France,Besançon,new,organic_search,2022-02-14
11,David,Mathieu,david.mathieu11@orange.fr,France,Reims,new,organic_search,2024-04-21
12,Stéphane,Morin,stephane.morin12@hotmail.fr,France,Toulon,new,in_store,2019-08-10
13,Stéphane,Petit,stephane.petit13@gmail.com,France,Rouen,returning,organic_search,2020-03-23
14,Christine,Moreau,christine.moreau14@yahoo.fr,France,Toulon,new,referral,2019-11-05
15,Jade,Durand,jade.durand15@sfr.fr,France,Lyon,new,marketplace,2019-03-02
16,Maxime,Simon,maxime.simon16@free.fr,France,Toulon,new,organic_search,2023-07-01
17,Jean,Rousseau,jean.rousseau17@yahoo.fr,France,Montpellier,returning,marketplace,2022-03-14
18,Manon,Morin,manon.morin18@sfr.fr,France,Perpignan,new,email,2021-06-10
19,Inès,Petit,ines.petit19@yahoo.fr,France,Metz,new,referral,2024-05-06
20,Marc,Petit,marc.petit20@hotmail.fr,France,Dijon,new,paid_search,2019-10-06
21,Mathieu,Legrand,mathieu.legrand21@yahoo.fr,France,Strasbourg,new,email,2019-12-02
22,Emma,Bonnet,emma.bonnet22@gmail.com,France,Montpellier,returning,organic_search,2021-09-04
23,Maëlle,Girard,maelle.girard23@gmail.com,France,Saint-Étienne,returning,email,2019-10-25
24,Lucie,Durand,lucie.durand24@sfr.fr,France,Marseille,new,referral,2020-06-26
25,Romain,Fontaine,romain.fontaine25@hotmail.fr,France,Nice,returning,in_store,2022-05-24
26,Justine,Garnier,justine.garnier26@sfr.fr,France,Paris,returning,organic_search,2020-02-29
27,Sébastien,Durand,sebastien.durand27@hotmail.fr,France,Metz,new,organic_search,2021-05-12
28,Océane,Hamid,oceane.hamid28@gmail.com,France,Montpellier,new,social_media,2019-07-28
29,Gabriel,Thomas,gabriel.thomas29@gmail.com,France,Paris,new,social_media,2021-12-08
30,Nadia,Faure,nadia.faure30@yahoo.fr,Belgique,Angers,VIP,referral,2020-09-02
31,Charlotte,François,charlotte.francois31@free.fr,France,Bordeaux,new,direct,2023-02-02
32,Christophe,Lambert,christophe.lambert32@orange.fr,France,Nantes,returning,referral,2022-12-19
33,Sophie,Perrin,sophie.perrin33@laposte.net,France,Metz,VIP,direct,2020-10-27
34,Sophie,Bernard,sophie.bernard34@orange.fr,France,Lille,new,referral,2023-08-14
35,Romain,Morel,romain.morel35@free.fr,France,Lille,new,paid_search,2019-06-08
36,Florence,Lambert,florence.lambert36@gmail.com,France,Nice,returning,organic_search,2021-07-02
37,Baptiste,Morel,baptiste.morel37@hotmail.fr,France,Besançon,returning,paid_search,2022-12-09
38,Chloé,Dupont,chloe.dupont38@hotmail.fr,France,Paris,VIP,in_store,2021-01-01
39,Nicolas,Durand,nicolas.durand39@yahoo.fr,France,Brest,returning,in_store,2022-07-08
40,Sébastien,Rousseau,sebastien.rousseau40@gmail.com,France,Reims,new,marketplace,2023-11-22
41,Chloé,Nicolas,chloe.nicolas41@gmail.com,France,Metz,returning,organic_search,2021-03-18
42,Laure,Dupont,laure.dupont42@yahoo.fr,France,Brest,returning,email,2022-05-15
43,Florian,Vincent,florian.vincent43@hotmail.fr,France,Perpignan,new,paid_search,2023-09-19
44,Elisa,Michel,elisa.michel44@gmail.com,France,Brest,new,organic_search,2019-01-02
45,Charlotte,Garcia,charlotte.garcia45@yahoo.fr,France,Clermont-Ferrand,new,direct,2021-05-25
46,Elise,Simon,elise.simon46@gmail.com,France,Amiens,new,marketplace,2022-10-04
47,Maxime,Nicolas,maxime.nicolas47@gmail.com,France,Nice,new,in_store,2019-04-11
48,Amandine,Hamid,amandine.hamid48@hotmail.fr,France,Orléans,new,paid_search,2021-03-07
49,Isabelle,David,isabelle.david49@orange.fr,France,Bordeaux,new,organic_search,2020-03-12
50,Amira,Garnier,amira.garnier50@yahoo.fr,France,Saint-Étienne,new,direct,2020-05-12
51,Laure,Garnier,laure.garnier51@hotmail.fr,France,Angers,VIP,direct,2023-12-18
52,Laura,Faure,laura.faure52@orange.fr,France,Caen,new,social_media,2020-10-13
53,Clément,Masson,clement.masson53@yahoo.fr,France,Strasbourg,new,paid_search,2024-11-05
54,Stéphanie,Robert,stephanie.robert54@free.fr,France,Perpignan,new,organic_search,2022-08-02
55,Patrick,Roux,patrick.roux55@yahoo.fr,France,Rouen,returning,paid_search,2019-09-21
56,Julie,Lefevre,julie.lefevre56@free.fr,France,Lyon,new,direct,2019-03-22
57,Quentin,Blanc,quentin.blanc57@free.fr,France,Paris,new,marketplace,2023-05-17
58,Céline,Chevalier,celine.chevalier58@yahoo.fr,France,Metz,returning,paid_search,2021-06-22
59,Claire,Bernard,claire.bernard59@orange.fr,France,Rouen,returning,referral,2023-07-15
60,David,Perrin,david.perrin60@gmail.com,Monaco,Angers,returning,social_media,2019-04-22
61,Julie,Michel,julie.michel61@gmail.com,France,Lyon,new,direct,2024-02-06
